department,municipality,community,population,occupied_hh,average_hh,hh_unelectrified,percent_unelectrified,percent_n_poor,percent_poor,percent_v_poor
Río San Juan,San Miguelito,Sector 3,579,118,4.91,23,0.19,49.6,27.4,23
Río San Juan,San Miguelito,Sector 4,451,99,4.56,10,0.10,57.4,30.9,11.7
Río San Juan,San Miguelito,Sector 5,505,109,4.63,5,0.05,21.8,25.8,52.4
Río San Juan,San Miguelito,Los Potreros,271,53,5.11,22,0.42,35.8,39.6,24.5
Río San Juan,San Miguelito,El Peñón,349,66,5.29,66,1.00,10.6,25.8,63.6
Río San Juan,San Miguelito,El Ojoche,195,36,5.42,36,1.00,8.3,30.6,61.1
Río San Juan,San Miguelito,El Espavel,236,43,5.49,43,1.00,2.3,30.2,67.4
Río San Juan,San Miguelito,El Frijolar,117,21,5.57,20,0.95,4.8,28.6,66.7
Río San Juan,San Miguelito,Los Coreas,115,21,5.48,21,1.00,4.8,28.6,66.7
Río San Juan,San Miguelito,Espino Negro,408,72,5.67,22,0.31,22.2,30.6,47.2
Río San Juan,San Miguelito,Toro Bayo,786,140,5.61,135,0.96,12.8,36.2,51.1
Río San Juan,San Miguelito,El Jardín,290,50,5.80,50,1.00,2,20,78
Río San Juan,San Miguelito,El Camastro,444,80,5.55,79,0.99,6.3,18.8,75
Río San Juan,San Miguelito,El Corozo,134,21,6.38,21,1.00,4.8,28.6,66.7
Río San Juan,San Miguelito,La Tigra,234,52,4.50,50,0.96,0,38.5,61.5
Río San Juan,San Miguelito,El Cacao,296,58,5.10,58,1.00,10,33.3,56.7
Río San Juan,San Miguelito,Las Palomas,770,136,5.66,43,0.32,29.2,32.1,38.7
Río San Juan,San Miguelito,Los Sánchez,214,47,4.55,25,0.53,14,52,34
Río San Juan,San Miguelito,Los Pantanos,379,74,5.12,68,0.92,19.2,34.2,46.6
Río San Juan,San Miguelito,Santa Ana,98,16,6.13,16,1.00,25,43.8,31.3
Río San Juan,San Miguelito,La Conquista #1,167,33,5.06,33,1.00,9.1,30.3,60.6
Río San Juan,San Miguelito,La Conquista #2,350,72,4.86,72,1.00,19.4,25,55.6
Río San Juan,San Miguelito,La Conquista #3,224,40,5.60,39,0.98,2.6,23.1,74.4
