department,municipality,community,population,occupied_hh,average_hh,hh_unelectrified,percent_unelectrified,percent_n_poor,percent_poor,percent_v_poor
Matagalpa,Ciudad Dario,Colonia Finalindia,143,36,3.97,0,0.00,63.9,33.3,2.8
Matagalpa,Ciudad Dario,Luz Marina,256,49,5.22,0,0.00,44.9,34.7,20.4
Matagalpa,Ciudad Dario,Belen,336,74,4.54,3,0.04,50,24.3,25.7
Matagalpa,Ciudad Dario,Jerusalen,96,20,4.80,0,0.00,30,35,35
Matagalpa,Ciudad Dario,Jerico,266,57,4.67,2,0.04,43.9,35.1,21.1
Matagalpa,Ciudad Dario,Jose Santos Zelaya,222,52,4.27,2,0.04,55.8,25,19.2
Matagalpa,Ciudad Dario,Getsemani,317,63,5.03,0,0.00,42.9,33.3,23.8
Matagalpa,Ciudad Dario,Revolucion,805,165,4.88,10,0.06,45.6,36.8,17.5
Matagalpa,Ciudad Dario,Metapa,221,43,5.14,1,0.02,51.2,30.2,18.6
Matagalpa,Ciudad Dario,San Francisco,259,52,4.98,0,0.00,66,30.2,3.8
Matagalpa,Ciudad Dario,Guadalupe,644,129,4.99,7,0.05,37.2,31,31.8
Matagalpa,Ciudad Dario,Jose Cuadra,156,33,4.73,7,0.21,3,36.4,60.6
Matagalpa,Ciudad Dario,Santa Lucia,1069,204,5.24,6,0.03,42.4,39.5,18.1
Matagalpa,Ciudad Dario,Nuevo,1167,231,5.05,1,0.00,47.2,39.5,16.3
Matagalpa,Ciudad Dario,Francisco Matamoros o Eden,760,165,4.61,6,0.04,52.3,30.7,17
Matagalpa,Ciudad Dario,Buenos Aires,623,124,5.02,7,0.06,43.2,36.4,20.5
Matagalpa,Ciudad Dario,San Antonio,816,164,4.98,3,0.02,50.3,32.7,17
Matagalpa,Ciudad Dario,Señor de los Milagros,592,132,4.48,3,0.02,43.3,45.4,11.3
Matagalpa,Ciudad Dario,Ruben Dario,564,130,4.34,0,0.00,77,18.5,4.4
Matagalpa,Ciudad Dario,Laborio,598,112,5.34,2,0.02,48.3,29.2,22.5
Matagalpa,Ciudad Dario,El Chilillal,82,15,5.47,6,0.40,5.9,35.3,58.8
Matagalpa,Ciudad Dario,Puerta Al Cielo,97,22,4.41,4,0.18,4.5,4.5,90.9
Matagalpa,Ciudad Dario,San Jose o Blandon,640,126,5.08,3,0.02,34.8,34.1,31.1
Matagalpa,Ciudad Dario,San Pedro,662,124,5.34,2,0.02,44.4,43.6,12
Matagalpa,Ciudad Dario,Carlos Santi,442,81,5.46,4,0.05,39,37.8,23.2
Matagalpa,Ciudad Dario,España,369,80,4.61,1,0.01,41.5,45.1,13.4
Matagalpa,Ciudad Dario,Santa Clara,1048,182,5.76,7,0.04,40.4,33.2,26.4
Matagalpa,Ciudad Dario,El Triunfo,415,90,4.61,5,0.06,41.1,40,18.9
Matagalpa,Ciudad Dario,El Pantanal,185,37,5.00,0,0.00,27.5,27.5,45
Matagalpa,Ciudad Dario,San Luis,528,94,5.62,7,0.07,39,30.5,30.5
Matagalpa,Ciudad Dario,Palos Verdes,1277,268,4.76,155,0.58,41.6,37.3,21.1
Matagalpa,Ciudad Dario,El Jobo,877,183,4.79,93,0.51,41.8,37,21.2
Matagalpa,Ciudad Dario,Apompua,1191,237,5.03,198,0.84,30.9,38.3,30.9
Matagalpa,Ciudad Dario,Maunica,2209,463,4.77,379,0.82,22.7,35.2,42.1
Matagalpa,Ciudad Dario,Dario,124,22,5.64,13,0.59,9.1,40.9,50
Matagalpa,Ciudad Dario,El Regadio,867,178,4.87,125,0.70,29.6,39.7,30.7
Matagalpa,Ciudad Dario,Santa Bárbara,1335,307,4.35,202,0.66,36.7,36.1,27.2
Matagalpa,Ciudad Dario,Las Avellana,606,102,5.94,66,0.65,6.9,19.6,73.5
Matagalpa,Ciudad Dario,Casas Viejas,1599,330,4.85,312,0.95,27.4,41.3,31.3
Matagalpa,Ciudad Dario,Los Cocos,965,170,5.68,160,0.94,19.1,35.3,45.7
Matagalpa,Ciudad Dario,San Juanillo,1093,233,4.69,139,0.60,31.4,44.1,24.6
Matagalpa,Ciudad Dario,Las Calabazas,2860,575,4.97,294,0.51,27.3,37.2,35.5
Matagalpa,Ciudad Dario,Totumbla,696,135,5.16,130,0.96,15.4,38.2,46.3
Matagalpa,Ciudad Dario,Trujillo,1215,204,5.96,176,0.86,36.1,31.8,42.2
Matagalpa,Ciudad Dario,Talpetate,455,85,5.35,85,1.00,1.1,18.2,80.7
Matagalpa,Ciudad Dario,Playas de Moyua,964,193,4.99,132,0.68,30.5,36.9,32.5
Matagalpa,Ciudad Dario,Las Pilas,156,36,4.33,23,0.64,21.6,35.1,43.2
Matagalpa,Ciudad Dario,El Tempisque,232,51,4.55,32,0.63,31.4,43.1,25.5
Matagalpa,Ciudad Dario,El Coyolito,659,152,4.34,112,0.74,28.3,34.2,37.3
Matagalpa,Ciudad Dario,El Cacao de los Suarez,977,227,4.30,144,0.63,37,35.7,27.3
Matagalpa,Ciudad Dario,Llanos de Tamalapa,3115,609,5.11,479,0.79,20.7,38.2,41.1
Matagalpa,Ciudad Dario,Ispagual,3164,620,5.10,517,0.83,22.3,32.8,44.8
Matagalpa,Ciudad Dario,TOTAL,41014,8266,4.96,4065,0.49,33.44876603,35.61823131,31.25661747
Matagalpa,Ciudad Dario,TOTAL RURAL,26636,5380,4.95,3966,0.74,27.19503717,36.27553903,36.90035316
Matagalpa,El Tuma La Dalia,Salida a Waslala,375,66,5.68,18,0.27,22.8,22.8,54.4
Matagalpa,El Tuma La Dalia,15 de Septiembre,203,35,5.80,3,0.09,24.3,27,48.6
Matagalpa,El Tuma La Dalia,Central,534,95,5.62,3,0.03,50.5,23.3,26.2
Matagalpa,El Tuma La Dalia,Linda Vista,1263,255,4.95,33,0.13,32.7,28.4,38.9
Matagalpa,El Tuma La Dalia,San Benito La Ceiba,195,33,5.91,28,0.85,0,12.1,87.9
Matagalpa,El Tuma La Dalia,Las Colinas,602,104,5.79,29,0.28,16.2,27.6,56.2
Matagalpa,El Tuma La Dalia,San Francisco,669,126,5.31,34,0.27,26.2,32.5,41.3
Matagalpa,El Tuma La Dalia,El Recreo,335,61,5.49,23,0.38,26.5,22.1,51.5
Matagalpa,El Tuma La Dalia,19 de Julio,127,29,4.38,6,0.21,31,34.5,34.5
Matagalpa,El Tuma La Dalia,Suizo,351,64,5.48,9,0.14,37.9,24.2,37.9
Matagalpa,El Tuma La Dalia,San Martin,489,89,5.49,55,0.62,12.2,24.4,53.3
Matagalpa,El Tuma La Dalia,San Jose de Wasaka,320,61,5.25,7,0.11,21.5,26.2,52.3
Matagalpa,El Tuma La Dalia,Paz y Reconciliacion,272,53,5.13,2,0.04,44.6,37.5,17.9
Matagalpa,El Tuma La Dalia,El Maestro,114,31,3.68,0,0.00,58.1,35.5,6.5
Matagalpa,El Tuma La Dalia,Che Guevara,76,15,5.07,14,0.93,0,0,100
Matagalpa,El Tuma La Dalia,La Mora,4549,864,5.27,656,0.76,11.6,22.2,66.2
Matagalpa,El Tuma La Dalia,Tres Laureles,4469,821,5.44,615,0.75,14,26.1,60
Matagalpa,El Tuma La Dalia,La Tronca,4212,715,5.89,673,0.94,4.2,18.5,77.3
Matagalpa,El Tuma La Dalia,Las Veguitas,6343,1130,5.61,929,0.82,10.8,22.5,66.8
Matagalpa,El Tuma La Dalia,La Estrella,3173,604,5.25,337,0.56,14.2,28.5,57.2
Matagalpa,El Tuma La Dalia,La Dalia,2377,459,5.18,299,0.65,19.3,24.1,56.6
Matagalpa,El Tuma La Dalia,Albania,1701,299,5.69,207,0.69,12.3,27.2,60.5
Matagalpa,El Tuma La Dalia,El Coyolar,5769,1063,5.43,892,0.84,14.2,26.3,59.5
Matagalpa,El Tuma La Dalia,El Hular,3543,664,5.34,451,0.68,12.1,24.5,63.3
Matagalpa,El Tuma La Dalia,El Granadino,2375,445,5.34,363,0.82,9.5,21.9,68.6
Matagalpa,El Tuma La Dalia,El Tuma,5128,904,5.67,541,0.60,11.2,19.8,69
Matagalpa,El Tuma La Dalia,Los Chimbos,7117,1276,5.58,1118,0.88,9.7,22.2,68.1
Matagalpa,El Tuma La Dalia,TOTAL,56681,10361,5.47,7345,0.71,13.48090918,23.73246791,62.70700705
Matagalpa,El Tuma La Dalia,TOTAL RURAL,50756,9244,5.49,7081,0.77,11.65027045,23.35210948,65.00500865
Matagalpa,Esquipulas,San Miguel,150,26,5.77,3,0.12,48.3,31,20.7
Matagalpa,Esquipulas,Villa Libertad,654,128,5.11,12,0.09,41.2,33.8,25
Matagalpa,Esquipulas,Lomas de Guadalupe,130,32,4.06,2,0.06,48.5,42.2,9.1
Matagalpa,Esquipulas,Zona 1,1584,328,4.83,54,0.16,26.5,30.4,43.2
Matagalpa,Esquipulas,Zona 2,571,116,4.92,18,0.16,21.6,36.2,42.2
Matagalpa,Esquipulas,Zona 3,1004,215,4.67,26,0.12,33.3,36,30.7
Matagalpa,Esquipulas,Zona 4,892,221,4.04,18,0.08,46.9,27.6,25.4
Matagalpa,Esquipulas,San Gabriel,52,9,5.78,1,0.11,22.2,44.4,33.3
Matagalpa,Esquipulas,El Granero,437,87,5.02,17,0.20,21.8,28.7,49.4
Matagalpa,Esquipulas,Santa Ana,355,70,5.07,69,0.99,18.1,18.1,63.9
Matagalpa,Esquipulas,Miraguas,428,88,4.86,54,0.61,9.3,34,56.7
Matagalpa,Esquipulas,El Quebrachal,454,87,5.22,55,0.63,17,29.8,53.2
Matagalpa,Esquipulas,El Rodeo,484,100,4.84,3,0.03,31.5,25.9,42.6
Matagalpa,Esquipulas,San Vicente,501,90,5.57,16,0.18,17.5,36.9,45.6
Matagalpa,Esquipulas,El Porton,768,157,4.89,33,0.21,28.6,38.7,32.7
Matagalpa,Esquipulas,El Castillo,969,170,5.70,170,1.00,11.7,30.7,57.5
Matagalpa,Esquipulas,Coscullo-Eneas,529,101,5.24,101,1.00,20.4,34,45.6
Matagalpa,Esquipulas,El Jicaro,517,94,5.50,94,1.00,6.3,23.2,70.5
Matagalpa,Esquipulas,El Terrero,646,120,5.38,68,0.57,7.4,29.8,62.8
Matagalpa,Esquipulas,El Barro,474,91,5.21,63,0.69,24.2,38.4,37.4
Matagalpa,Esquipulas,El Zapotal,1079,196,5.51,168,0.86,16.5,25,58.5
Matagalpa,Esquipulas,Cumaica Norte,1428,268,5.33,97,0.36,21.2,31.4,47.3
Matagalpa,Esquipulas,El Balsamo,886,163,5.44,98,0.60,12.8,36,51.2
Matagalpa,Esquipulas,La Pita,885,173,5.12,73,0.42,18.5,32.6,48.9
Matagalpa,Esquipulas,TOTAL,15877,3130,5.07,1313,0.42,23.51875399,31.61501597,44.85277955
Matagalpa,Esquipulas,TOTAL RURAL,10403,1968,5.29,1162,0.59,17.63917683,31.28338415,51.05873984
Matagalpa,Matagalpa,Mirador Villa Sabadell,968,201,4.82,8,0.04,0,27.7,72.3
Matagalpa,Matagalpa,Ruben Dario,688,121,5.69,3,0.02,74.2,19.5,6.3
Matagalpa,Matagalpa,Las Marias,2753,532,5.17,23,0.04,33.5,31.6,34.8
Matagalpa,Matagalpa,Walter Mendoza,3612,643,5.62,40,0.06,22.5,33.3,44.2
Matagalpa,Matagalpa,Edmundo Castellon,1087,191,5.69,10,0.05,30.1,32.5,37.3
Matagalpa,Matagalpa,2 de Marzo,690,131,5.27,4,0.03,10.6,23.4,66
Matagalpa,Matagalpa,Punta Arena,166,28,5.93,12,0.43,0,29,71
Matagalpa,Matagalpa,Marvin Alvarado,550,117,4.70,1,0.01,52.4,31.5,16.1
Matagalpa,Matagalpa,1 de Mayo Norte,1034,193,5.36,0,0.00,49.5,33.6,16.8
Matagalpa,Matagalpa,Sandino,1222,219,5.58,25,0.11,39,34.1,26.9
Matagalpa,Matagalpa,Carlos Roque,371,71,5.23,3,0.04,31.2,37.7,31.2
Matagalpa,Matagalpa,28 de Agosto,342,77,4.44,0,0.00,53.2,27.3,19.5
Matagalpa,Matagalpa,Totalate Abajo,1238,242,5.12,4,0.02,62.6,26.4,11
Matagalpa,Matagalpa,Apoya al Combatiente,1076,198,5.43,12,0.06,25.7,25.7,48.6
Matagalpa,Matagalpa,El Tule,1306,253,5.16,11,0.04,32.3,31.2,36.4
Matagalpa,Matagalpa,Santa Teresita,2703,533,5.07,10,0.02,54.2,29.1,16.7
Matagalpa,Matagalpa,25 de Febrero,543,115,4.72,8,0.07,55.8,25.8,18.3
Matagalpa,Matagalpa,Las Vegas,652,140,4.66,6,0.04,63.2,28.5,8.3
Matagalpa,Matagalpa,Pancasan,1708,361,4.73,15,0.04,61.7,25.4,12.8
Matagalpa,Matagalpa,Richardson,500,98,5.10,3,0.03,46.2,27.4,26.4
Matagalpa,Matagalpa,Guanuca,4437,862,5.15,16,0.02,57.7,30,12.3
Matagalpa,Matagalpa,San Martin,775,139,5.58,4,0.03,48.4,30.6,21
Matagalpa,Matagalpa,Cesar Arguello,263,53,4.96,1,0.02,68.5,16.7,14.8
Matagalpa,Matagalpa,5 de Junio,1400,272,5.15,6,0.02,59.1,24.9,16
Matagalpa,Matagalpa,Fanor Jeans,766,161,4.76,3,0.02,69.7,21.1,9.1
Matagalpa,Matagalpa,Liberacion,1285,283,4.54,7,0.02,68.5,17.2,14.2
Matagalpa,Matagalpa,25 de Abril,1588,295,5.38,13,0.04,29.6,32.6,37.9
Matagalpa,Matagalpa,El Calvario,345,72,4.79,5,0.07,27.8,31.9,40.3
Matagalpa,Matagalpa,Francisco Moreno I,1711,321,5.33,16,0.05,27.9,33.8,38.3
Matagalpa,Matagalpa,Francisco Moreno II,820,157,5.22,13,0.08,34.3,25.3,40.4
Matagalpa,Matagalpa,Francisco Moreno III,1385,283,4.89,12,0.04,44.5,28.4,27.1
Matagalpa,Matagalpa,Zona Central,2680,666,4.02,4,0.01,80.6,14.1,5.2
Matagalpa,Matagalpa,Salvador Amador,208,47,4.43,1,0.02,68.8,22.9,8.3
Matagalpa,Matagalpa,Linda Vista,1394,283,4.93,5,0.02,39.3,30.2,30.5
Matagalpa,Matagalpa,Juan Pablo II,1823,355,5.14,35,0.10,14.8,23.9,61.3
Matagalpa,Matagalpa,Buenos Aires,101,23,4.39,14,0.61,0,0,100
Matagalpa,Matagalpa,Yaguare,1031,221,4.67,9,0.04,62.4,23.9,13.7
Matagalpa,Matagalpa,Roberto Centeno,586,121,4.84,1,0.01,14.9,18.2,66.9
Matagalpa,Matagalpa,El Tambor,2980,593,5.03,32,0.05,4.7,12.8,82.5
Matagalpa,Matagalpa,El Triunfo,412,84,4.90,6,0.07,2.4,6,91.6
Matagalpa,Matagalpa,Manuel de Jesus Menoza,183,38,4.82,1,0.03,61.4,25,13.6
Matagalpa,Matagalpa,Anexo Manuel de Jesus M,76,18,4.22,1,0.06,11.1,0,88.9
Matagalpa,Matagalpa,Reparto Fatima,227,43,5.28,3,0.07,54.3,23.9,21.7
Matagalpa,Matagalpa,Rodolfo Lopez,1851,400,4.63,8,0.02,56.6,30.9,12.5
Matagalpa,Matagalpa,El Progreso,1958,419,4.67,4,0.01,68.9,20.5,10.5
Matagalpa,Matagalpa,Carlos Fonseca,1491,330,4.52,3,0.01,66.7,25.3,8
Matagalpa,Matagalpa,Reynaldo Mairena,414,81,5.11,0,0.00,84.4,12.2,3.3
Matagalpa,Matagalpa,Palo Alto,599,113,5.30,3,0.03,61.3,28.6,10.1
Matagalpa,Matagalpa,German Pomares,1039,197,5.27,13,0.07,48.6,28.5,22.9
Matagalpa,Matagalpa,San Francisco,975,165,5.91,7,0.04,46.7,31.3,22
Matagalpa,Matagalpa,Berman Uriarte,345,64,5.39,0,0.00,76.5,17.6,5.9
Matagalpa,Matagalpa,Carlos Sanetti,614,137,4.48,6,0.04,56.3,27.8,16
Matagalpa,Matagalpa,Aquiles Banuci,503,105,4.79,0,0.00,70,21.7,8.3
Matagalpa,Matagalpa,26 de Agosto,596,123,4.85,1,0.01,61.4,23.5,15.2
Matagalpa,Matagalpa,El Apante,836,161,5.19,3,0.02,52,32.4,15.6
Matagalpa,Matagalpa,Manuel Piquera,234,58,4.03,3,0.05,64.9,24.6,10.5
Matagalpa,Matagalpa,La Virgen,2860,603,4.74,18,0.03,57.8,31.5,10.8
Matagalpa,Matagalpa,El Cementario,2612,543,4.81,3,0.01,59.3,29.9,10.8
Matagalpa,Matagalpa,Manuel Baldizon,478,97,4.93,1,0.01,52.5,31.3,16.2
Matagalpa,Matagalpa,Benjamin Linder,477,93,5.13,1,0.01,59.2,28.6,12.2
Matagalpa,Matagalpa,1 de Mayo,1484,281,5.28,8,0.03,53.7,29.1,17.3
Matagalpa,Matagalpa,Sandino Sur,2171,402,5.40,28,0.07,41,37.2,21.7
Matagalpa,Matagalpa,Lucidia Mantilla,2477,534,4.64,83,0.16,0.4,19.4,80.2
Matagalpa,Matagalpa,Sor Maria Romero,1125,246,4.57,121,0.49,0,5.7,94.3
Matagalpa,Matagalpa,Pedro Joaquin Chamorro,83,20,4.15,1,0.05,35,45,20
Matagalpa,Matagalpa,Zona 1,6280,1151,5.46,689,0.60,24.3,27.3,48.4
Matagalpa,Matagalpa,Zona 2,7827,1376,5.69,690,0.50,15.7,25.9,58.3
Matagalpa,Matagalpa,Zona 3,9542,1699,5.62,1001,0.59,18.1,28,53.9
Matagalpa,Matagalpa,Zona 4,4634,826,5.61,680,0.82,14,28.5,57.5
Matagalpa,Matagalpa,Zona 5,4726,860,5.50,600,0.70,17,30.4,52.5
Matagalpa,Matagalpa,Zona 6,6617,1305,5.07,593,0.45,35.4,28.3,36.4
Matagalpa,Matagalpa,Zona 7,2733,487,5.61,476,0.98,20.8,29.7,49.5
Matagalpa,Matagalpa,Zona 8,1959,343,5.71,203,0.59,12.9,37.5,49.6
Matagalpa,Matagalpa,Zona 9,4075,809,5.04,385,0.48,25.4,27.6,47
Matagalpa,Matagalpa,Zona 10,2278,414,5.50,165,0.40,24.1,32.5,43.4
Matagalpa,Matagalpa,Zona 11,1515,274,5.53,218,0.80,8.8,29.1,62.1
Matagalpa,Matagalpa,Zona 12,6323,1100,5.75,308,0.28,29.9,27.3,42.8
Matagalpa,Matagalpa,TOTAL,133416,25670,5.20,6729,0.26,35.33019478,27.20431243,37.45333463
Matagalpa,Matagalpa,TOTAL RURAL,58509,10644,5.50,6008,0.56,21.89843104,28.40683953,49.68598271
Matagalpa,Matiguas,Reparto Alacran,987,198,4.98,97,0.49,5,13.9,81.1
Matagalpa,Matiguas,Rufino Lopez,1168,228,5.12,24,0.11,24.6,26.3,49.1
Matagalpa,Matiguas,24 de Julio,1668,362,4.61,30,0.08,44.4,29.1,26.5
Matagalpa,Matiguas,Jorge Luis Cuarezma,775,148,5.24,14,0.09,17.2,37.4,45.4
Matagalpa,Matiguas,Pancasan,2344,495,4.74,22,0.04,48.6,32.8,18.6
Matagalpa,Matiguas,Linda Vista,1621,316,5.13,42,0.13,27.7,29,43.3
Matagalpa,Matiguas,Sara Luis,178,43,4.14,13,0.30,38.3,25.5,36.2
Matagalpa,Matiguas,Rolando Orozco,166,34,4.88,8,0.24,23.5,20.6,55.9
Matagalpa,Matiguas,Micro Region pancasan,11938,2162,5.52,1812,0.84,9.3,23.5,67.2
Matagalpa,Matiguas,Micro Region La Patriota,4758,841,5.66,715,0.85,7.7,23.7,68.7
Matagalpa,Matiguas,Micro Region Matiguas,11035,2121,5.20,1773,0.84,11.8,26.5,61.7
Matagalpa,Matiguas,Micro Region Likias,4489,790,5.68,768,0.97,5.2,25.5,69.3
Matagalpa,Matiguas,TOTAL,41127,7738,5.31,5318,0.69,15.01568881,25.73082192,59.26435772
Matagalpa,Matiguas,TOTAL RURAL,32220,5914,5.45,5068,0.86,9.421389922,24.87152519,65.72130538
Matagalpa,Muy Muy,Guadalupe,180,39,4.62,5,0.13,0,34.1,65.9
Matagalpa,Muy Muy,La Jabilla,114,23,4.96,11,0.48,4.3,13,82.6
Matagalpa,Muy Muy,Chevron,50,8,6.25,.,#VALUE!,25,37.5,37.5
Matagalpa,Muy Muy,San Francisco,282,56,5.04,6,0.11,37.3,37.3,25.4
Matagalpa,Muy Muy,Terrabona,317,72,4.40,6,0.08,48.6,33.3,18.1
Matagalpa,Muy Muy,Central,430,99,4.34,3,0.03,53.4,36.9,9.7
Matagalpa,Muy Muy,Reymundo Urbina,628,124,5.06,14,0.11,34.4,37.6,28
Matagalpa,Muy Muy,2 de Septiembre,258,51,5.06,7,0.14,29.4,37.3,33.3
Matagalpa,Muy Muy,La Resistencia,205,40,5.13,18,0.45,22.5,20,57.5
Matagalpa,Muy Muy,El Rosario,523,110,4.75,17,0.15,44.1,37.8,18
Matagalpa,Muy Muy,25 de Febrero,776,153,5.07,24,0.16,26.5,31,42.6
Matagalpa,Muy Muy,Reparto San Benito,171,32,5.34,4,0.13,32.4,26.5,41.2
Matagalpa,Muy Muy,Bismark Villvicencio,103,32,3.22,2,0.06,53.1,43.8,3.1
Matagalpa,Muy Muy,San Marcos,1012,165,6.13,139,0.84,11.9,36.9,51.2
Matagalpa,Muy Muy,San Pedro,610,103,5.92,93,0.90,18.4,35.9,45.6
Matagalpa,Muy Muy,El Esquirin,868,165,5.26,153,0.93,16.9,26.5,56.6
Matagalpa,Muy Muy,Maizama,809,168,4.82,158,0.94,23.4,40.1,36.5
Matagalpa,Muy Muy,Aguas Calientes,1406,245,5.74,201,0.82,12.4,28.7,58.9
Matagalpa,Muy Muy,Guillguina,1274,236,5.40,216,0.92,8.8,31.5,59.7
Matagalpa,Muy Muy,Mal Paso,1302,247,5.27,199,0.81,20.7,29.9,49.4
Matagalpa,Muy Muy,Compasagua,1546,248,6.23,212,0.85,13.8,27.3,58.9
Matagalpa,Muy Muy,El Balsamo,541,103,5.25,96,0.93,10.4,28.3,61.3
Matagalpa,Muy Muy,Cerro El Caballo,523,89,5.88,73,0.82,13.5,22.5,64
Matagalpa,Muy Muy,Olama,230,46,5.00,44,0.96,8.7,23.9,67.4
Matagalpa,Muy Muy,Las Pavas,563,97,5.80,97,1.00,1,19.6,79.4
Matagalpa,Muy Muy,TOTAL,14721,2751,5.35,1798,0.65,20.5301345,31.26804798,48.19996365
Matagalpa,Muy Muy,TOTAL RURAL,10684,1912,5.59,1681,0.88,14.12050209,30.03906904,55.83504184
Matagalpa,Rancho Grande,Resistencia,288,53,5.43,32,0.60,9.4,11.3,79.2
Matagalpa,Rancho Grande,San Martin,202,41,4.93,7,0.17,23.8,31,45.2
Matagalpa,Rancho Grande,13 de Mayo,204,38,5.37,9,0.24,30,32.5,37.5
Matagalpa,Rancho Grande,Fatima,195,43,4.53,8,0.19,41.9,25.6,32.6
Matagalpa,Rancho Grande,Paz y Progreso,185,41,4.51,11,0.27,53.7,24.4,22
Matagalpa,Rancho Grande,Linda Vista,239,49,4.88,36,0.73,12,16,72
Matagalpa,Rancho Grande,La Union,335,68,4.93,23,0.34,26.5,33.87,39.7
Matagalpa,Rancho Grande,Colonia Agricola,4425,767,5.77,696,0.91,9.7,24.4,65.9
Matagalpa,Rancho Grande,Lana Arriba,1069,171,6.25,169,0.99,5.2,20.9,73.8
Matagalpa,Rancho Grande,Pajaro Central,557,103,5.41,102,0.99,0,23.4,76.6
Matagalpa,Rancho Grande,Yahoska,1323,222,5.96,206,0.93,6.7,17.9,75.4
Matagalpa,Rancho Grande,Las Brisas,799,137,5.83,116,0.85,13.1,21.2,65.7
Matagalpa,Rancho Grande,Mancera,806,137,5.88,133,0.97,5,16.5,78.4
Matagalpa,Rancho Grande,Las Carpa,2983,541,5.51,470,0.87,12.4,29.3,58.3
Matagalpa,Rancho Grande,Rancho Grande,2007,345,5.82,313,0.91,17.7,28.4,53.9
Matagalpa,Rancho Grande,Buenos Aires,993,170,5.84,169,0.99,4.7,19.4,75.9
Matagalpa,Rancho Grande,Cuyuca,1038,165,6.29,161,0.98,4.1,12.4,83.5
Matagalpa,Rancho Grande,El Achiote,922,143,6.45,143,1.00,5.6,11.9,82.5
Matagalpa,Rancho Grande,Kiwaska,478,74,6.46,74,1.00,1.3,20.3,78.5
Matagalpa,Rancho Grande,San Antonio de Kuskawas,994,159,6.25,160,1.01,15.5,22.4,62.1
Matagalpa,Rancho Grande,Cerro Grande,221,36,6.14,35,0.97,10.8,13.5,75.7
Matagalpa,Rancho Grande,Castilla,802,137,5.85,135,0.99,7,21.8,71.1
Matagalpa,Rancho Grande,TOTAL,21065,3640,5.79,3208,0.88,11.07233516,22.90171978,66.01791209
Matagalpa,Rancho Grande,TOTAL RURAL,19417,3307,5.87,3082,0.93,9.463531902,22.70003024,67.82521923
Matagalpa,Rio Blanco,Benjamin Zeeldon,667,123,5.42,3,0.02,41.7,38.6,19.7
Matagalpa,Rio Blanco,Carlos Fonseca,943,178,5.30,5,0.03,42.6,33.2,24.2
Matagalpa,Rio Blanco,Gregorio Montoya,1202,397,3.03,26,0.07,35.5,35.7,28.8
Matagalpa,Rio Blanco,Rafael Martinez,1202,392,3.07,51,0.13,30.1,32.5,37.4
Matagalpa,Rio Blanco,Luis Alfonso Velasquez F,1024,378,2.71,25,0.07,37.8,30.8,31.3
Matagalpa,Rio Blanco,Sacramento,775,154,5.03,16,0.10,36.9,37.6,25.5
Matagalpa,Rio Blanco,Enrique Bermudez,1390,268,5.19,10,0.04,41.4,37.1,21.4
Matagalpa,Rio Blanco,Linda Vista,1358,239,5.68,175,0.73,3.8,10.8,85.4
Matagalpa,Rio Blanco,Las Madres,234,47,4.98,4,0.09,34,42,24
Matagalpa,Rio Blanco,Cresencio Suarez,387,74,5.23,4,0.05,46.1,32.9,21.1
Matagalpa,Rio Blanco,Tawa,417,67,6.22,66,0.99,0,16.2,83.8
Matagalpa,Rio Blanco,Cuatro Esquinas,2235,354,6.31,343,0.97,1.1,19.2,79.7
Matagalpa,Rio Blanco,Las Peñitas,1040,160,6.50,169,1.06,2.4,25.9,71.8
Matagalpa,Rio Blanco,El Rosario,741,106,6.99,104,0.98,1.8,20.7,77.5
Matagalpa,Rio Blanco,Mancera,630,102,6.18,102,1.00,3.9,26.5,69.6
Matagalpa,Rio Blanco,Wanawas,4913,850,5.78,837,0.98,5.5,19.4,75.1
Matagalpa,Rio Blanco,La Ulo,1949,329,5.92,328,1.00,4.2,15.7,80.1
Matagalpa,Rio Blanco,Castillo Norte,516,82,6.29,81,0.99,0,18.3,81.7
Matagalpa,Rio Blanco,Walana,1600,275,5.82,271,0.99,4.4,21.8,73.8
Matagalpa,Rio Blanco,Cerro Musún,416,70,5.94,70,1.00,10,27.1,62.9
Matagalpa,Rio Blanco,El Martillo,630,112,5.63,102,0.91,1.8,17,81.3
Matagalpa,Rio Blanco,Cabecera de Paiwas,611,112,5.46,100,0.89,8,21.4,70.5
Matagalpa,Rio Blanco,La Ponzoña,531,98,5.42,65,0.66,24.2,37.4,38.4
Matagalpa,Rio Blanco,Rio Blanco,51,8,6.38,7,0.88,12.5,25,62.5
Matagalpa,Rio Blanco,Wanawana No. 1,1616,341,4.74,330,0.97,6,14.9,79.1
Matagalpa,Rio Blanco,San Jose de Paiwas,911,165,5.52,160,0.97,7.2,29.5,63.3
Matagalpa,Rio Blanco,TOTAL,27989,5481,5.11,3454,0.63,16.73424558,25.18179164,58.0764459
Matagalpa,Rio Blanco,TOTAL RURAL,18807,3231,5.82,3135,0.97,4.992881461,20.45363665,74.55843392
Matagalpa,San Dionisio,Ricardo Espinoza,712,130,5.48,36,0.28,29,24.6,46.4
Matagalpa,San Dionisio,Fabio Martinez,618,135,4.58,18,0.13,36.6,35.9,27.5
Matagalpa,San Dionisio,Zinica,545,102,5.34,19,0.19,30.5,36.2,33.3
Matagalpa,San Dionisio,San Francisco,285,61,4.67,21,0.34,44.3,26.2,29.5
Matagalpa,San Dionisio,San Martin,238,43,5.53,34,0.79,11.6,27.9,60.5
